Company,Industry,Job Role,Salary (INR LPA),Location,Job Portal
MSCI,Financial Services,Power BI Developer,9.98,Kolkata,LinkedIn
JP Morgan,Banking,Cloud Engineer,12.36,Kolkata,Indeed
PwC,E-Commerce,Credit Analyst,4.6,Hyderabad,Naukri
Maruti Suzuki,IT,Credit Analyst,9.2,Mumbai,Naukri
Ola,E-Commerce,Financial Analyst,10.58,Chennai,Naukri
Bosch,IT Services,Consultant,6.64,Delhi,Indeed
L&T Infotech,Consulting,Credit Analyst,13,Mumbai,Company Career Page
Ola,Banking,Software Engineer,13.33,Chennai,Company Career Page
Cognizant,IT Services,Software Engineer,14.52,Hyderabad,Naukri
Uber,IT Services,Data Analyst,12.6,Mumbai,LinkedIn
BYJU'S,IT,Business Analyst,3.08,Pune,Naukri
PwC,IT Services,Data Analyst,13.25,Noida,Company Career Page
Uber,Consulting,Data Analyst,9.06,Gurgaon,Naukri
Nestle India,IT Services,Cloud Engineer,13.66,Kolkata,Naukri
Paytm,Consulting,Financial Analyst,8.73,Kolkata,Naukri
Samsung India,Consulting,Software Developer,8.45,Hyderabad,Company Career Page
Tech Mahindra,Banking,Credit Analyst,8.93,Delhi,LinkedIn
Maruti Suzuki,E-Commerce,Financial Analyst,16.24,Bangalore,LinkedIn
Amazon,Consulting,Business Analyst,12.3,Chennai,Naukri
Paytm,IT,Financial Analyst,6.16,Bangalore,Naukri
HDFC Bank,IT,Business Analyst,15.06,Chennai,LinkedIn
KPMG,E-Commerce,Data Analyst,11.2,Pune,Company Career Page
Reliance Jio,IT Services,Software Developer,5.15,Noida,Naukri
Google,Banking,Credit Analyst,16.26,Noida,Company Career Page
Goldman Sachs,IT,Cybersecurity Analyst,9.28,Pune,Company Career Page
L&T Infotech,IT,Business Analyst,19.85,Chennai,LinkedIn
Samsung India,IT,Cybersecurity Analyst,15.35,Hyderabad,LinkedIn
Cognizant,Banking,Cloud Engineer,13.77,Mumbai,LinkedIn
Accenture,IT,Credit Analyst,10.04,Gurgaon,Naukri
Nestle India,Banking,Consultant,12.61,Delhi,Company Career Page
L&T Infotech,IT,Credit Analyst,7.28,Bangalore,Naukri
Swiggy,Consulting,Data Analyst,12.74,Noida,Company Career Page
Maruti Suzuki,IT Services,Software Developer,7.99,Kolkata,Indeed
Wipro,IT,Cybersecurity Analyst,12.86,Hyderabad,Company Career Page
Microsoft,IT,Software Engineer,5.73,Pune,Indeed
Bosch,IT Services,Financial Analyst,9.2,Hyderabad,LinkedIn
Bosch,Consulting,Consultant,7.3,Pune,Indeed
Amazon,IT,Cloud Engineer,8.44,Kolkata,Indeed
Tata Steel,IT,Software Developer,6.98,Gurgaon,Company Career Page
BYJU'S,Banking,Software Engineer,8.13,Gurgaon,LinkedIn
Oracle,IT Services,Business Analyst,14.43,Chennai,Naukri
Tech Mahindra,IT,Credit Analyst,8.76,Gurgaon,Company Career Page
Paytm,Consulting,Software Engineer,4.18,Pune,Naukri
Uber,IT Services,Software Engineer,9.12,Gurgaon,Naukri
Mahindra & Mahindra,Banking,Software Developer,3.75,Chennai,Naukri
Samsung India,Consulting,Data Analyst,11.26,Kolkata,Indeed
HDFC Bank,Consulting,Software Developer,9.59,Kolkata,Company Career Page
Swiggy,IT,Consultant,5.86,Bangalore,Naukri
HCL Technologies,Consulting,Data Analyst,9.39,Gurgaon,Indeed
BYJU'S,Banking,Business Analyst,11.32,Kolkata,Company Career Page
Paytm,Consulting,Business Analyst,12.25,Kolkata,Indeed
Infosys,E-Commerce,Software Developer,13.05,Kolkata,Indeed
Google,Banking,Credit Analyst,11.27,Kolkata,LinkedIn
Nestle India,IT Services,Software Developer,17.9,Pune,Naukri
Cognizant,IT,Financial Analyst,5.68,Kolkata,Company Career Page
ICICI Bank,IT Services,Cybersecurity Analyst,18.13,Hyderabad,Naukri
Infosys,Banking,Data Analyst,7.66,Pune,LinkedIn
Asian Paints,Banking,Financial Analyst,14.28,Pune,LinkedIn
Reliance Jio,IT,Software Developer,4.09,Bangalore,LinkedIn
Microsoft,IT,Data Analyst,14.44,Noida,Indeed
Siemens,Banking,Business Analyst,3.01,Pune,Company Career Page
Zomato,IT Services,Cybersecurity Analyst,7.77,Bangalore,Indeed
Infosys,IT,Cloud Engineer,3.86,Chennai,Company Career Page
Accenture,IT,Data Analyst,11.33,Kolkata,Naukri
Nestle India,Consulting,Cybersecurity Analyst,17.54,Noida,Company Career Page
Mahindra & Mahindra,Consulting,Consultant,4.32,Hyderabad,Naukri
Amazon,Consulting,Software Engineer,8.66,Bangalore,LinkedIn
Swiggy,IT Services,Cybersecurity Analyst,15.72,Noida,Indeed
Uber,Banking,Consultant,17.92,Pune,LinkedIn
ICICI Bank,Banking,Credit Analyst,12.29,Pune,Naukri
Mahindra & Mahindra,Consulting,Software Developer,17.82,Chennai,LinkedIn
Microsoft,E-Commerce,Consultant,17.64,Pune,Indeed
Wipro,IT,Cybersecurity Analyst,14.62,Kolkata,Naukri
BYJU'S,Consulting,Cybersecurity Analyst,3.89,Delhi,LinkedIn
Tech Mahindra,Consulting,Financial Analyst,14.1,Chennai,Indeed
Infosys,IT Services,Cybersecurity Analyst,14.17,Delhi,Naukri
ITC Limited,Banking,Consultant,3.49,Kolkata,LinkedIn
Samsung India,Consulting,Consultant,10.13,Hyderabad,LinkedIn
Paytm,IT Services,Consultant,18.08,Gurgaon,Naukri
Bosch,IT,Credit Analyst,19.85,Hyderabad,LinkedIn
Microsoft,Banking,Consultant,6.89,Pune,Indeed
ITC Limited,E-Commerce,Business Analyst,10.63,Delhi,Naukri
BYJU'S,Banking,Cybersecurity Analyst,9.25,Pune,Company Career Page
Cognizant,IT Services,Financial Analyst,9.86,Chennai,LinkedIn
Tata Steel,IT,Financial Analyst,15.51,Hyderabad,Naukri
HDFC Bank,IT Services,Cybersecurity Analyst,4.67,Delhi,LinkedIn
IBM,IT,Data Analyst,7.17,Hyderabad,Company Career Page
ITC Limited,IT Services,Consultant,9.3,Gurgaon,LinkedIn
Google,Consulting,Financial Analyst,9.32,Kolkata,Naukri
Bosch,Consulting,Cybersecurity Analyst,12.26,Gurgaon,Indeed
Reliance Jio,E-Commerce,Financial Analyst,11.49,Noida,LinkedIn
Microsoft,IT Services,Software Engineer,17.97,Mumbai,Naukri
Paytm,IT,Cloud Engineer,14.28,Noida,Naukri
Capgemini,IT,Cloud Engineer,8.61,Kolkata,Company Career Page
Microsoft,Banking,Cybersecurity Analyst,10.91,Hyderabad,Indeed
Samsung India,IT Services,Financial Analyst,17.37,Gurgaon,Indeed
HCL Technologies,IT Services,Consultant,18.02,Bangalore,LinkedIn
ITC Limited,Consulting,Software Engineer,18.66,Delhi,Indeed
SAP,IT,Credit Analyst,8.06,Pune,Naukri
Samsung India,Consulting,Credit Analyst,7.57,Mumbai,Indeed
ZS Associates,Consulting,Cloud Engineer,8.15,Mumbai,LinkedIn
Mahindra & Mahindra,IT,Financial Analyst,19.86,Kolkata,Indeed
Swiggy,IT Services,Financial Analyst,15.38,Delhi,Indeed
KPMG,Banking,Business Analyst,4.64,Pune,Indeed
Bosch,Consulting,Software Developer,4.54,Hyderabad,Naukri
Mahindra & Mahindra,Consulting,Business Analyst,7.69,Mumbai,Naukri
Swiggy,IT,Credit Analyst,10.68,Hyderabad,Naukri
JP Morgan,IT Services,Cybersecurity Analyst,5.44,Pune,Naukri
SAP,IT,Software Developer,16.71,Kolkata,Naukri
Tata Steel,IT,Financial Analyst,8.07,Mumbai,Indeed
Capgemini,IT Services,Consultant,15.53,Mumbai,Indeed
ICICI Bank,IT Services,Data Analyst,3.12,Noida,Company Career Page
Google,E-Commerce,Data Analyst,9.35,Mumbai,LinkedIn
Bosch,Banking,Consultant,18.64,Hyderabad,Indeed
Paytm,IT,Cloud Engineer,5.92,Bangalore,Indeed
Deloitte,Consulting,Software Developer,16.19,Pune,Naukri
Accenture,IT,Business Analyst,8.54,Delhi,Indeed
Infosys,Consulting,Data Analyst,6.43,Hyderabad,Indeed
Tata Steel,Banking,Cloud Engineer,18.49,Chennai,Naukri
Tech Mahindra,IT,Software Engineer,10.41,Hyderabad,LinkedIn
HCL Technologies,E-Commerce,Consultant,18.65,Mumbai,Indeed
ITC Limited,Consulting,Credit Analyst,16.52,Chennai,Naukri
Cognizant,IT,Credit Analyst,12.15,Kolkata,Company Career Page
Reliance Jio,IT,Software Engineer,13,Mumbai,Company Career Page
Adobe,Consulting,Data Analyst,8.94,Bangalore,Indeed
Uber,Consulting,Cloud Engineer,9.52,Mumbai,LinkedIn
Google,Banking,Cybersecurity Analyst,13.69,Gurgaon,LinkedIn
Flipkart,IT Services,Cloud Engineer,19.18,Gurgaon,Indeed
Google,IT,Credit Analyst,13.88,Noida,Indeed
Goldman Sachs,IT Services,Cloud Engineer,16.29,Pune,Naukri
BYJU'S,IT Services,Business Analyst,18.3,Hyderabad,Naukri
Google,IT,Software Developer,15.27,Kolkata,LinkedIn
Zomato,IT,Credit Analyst,6.86,Delhi,Naukri
Capgemini,Banking,Cloud Engineer,19.35,Hyderabad,LinkedIn
Ola,IT Services,Software Developer,7.86,Hyderabad,LinkedIn
PwC,Banking,Business Analyst,9.97,Delhi,Naukri
Amazon,Banking,Software Engineer,5.41,Hyderabad,Indeed
Infosys,Consulting,Software Developer,7.22,Pune,LinkedIn
Zomato,Consulting,Data Analyst,19.44,Bangalore,Company Career Page
TCS,IT,Software Developer,5.65,Hyderabad,LinkedIn
L&T Infotech,Consulting,Software Engineer,3.94,Hyderabad,LinkedIn
ICICI Bank,IT,Software Developer,4.22,Bangalore,LinkedIn
Samsung India,Banking,Financial Analyst,6.69,Delhi,LinkedIn
Nestle India,IT,Business Analyst,3.59,Hyderabad,Naukri
Ola,Banking,Software Engineer,19.32,Hyderabad,Naukri
ICICI Bank,Banking,Credit Analyst,14.37,Hyderabad,Naukri
Capgemini,Banking,Business Analyst,5.63,Mumbai,LinkedIn
JP Morgan,Consulting,Software Developer,11.65,Delhi,Company Career Page
Paytm,IT,Financial Analyst,11.16,Hyderabad,Naukri
Deloitte,Consulting,Credit Analyst,5.75,Hyderabad,LinkedIn
Zomato,Consulting,Consultant,6.87,Hyderabad,Company Career Page
Siemens,E-Commerce,Cybersecurity Analyst,3.81,Hyderabad,LinkedIn
EY,IT,Business Analyst,4.32,Pune,Naukri
Microsoft,IT,Consultant,16.31,Gurgaon,Indeed
SAP,E-Commerce,Cloud Engineer,5.11,Noida,Indeed
JP Morgan,E-Commerce,Business Analyst,17.1,Pune,Naukri
Zomato,E-Commerce,Financial Analyst,13.16,Kolkata,Naukri
Paytm,Consulting,Cybersecurity Analyst,11.36,Pune,Naukri
Samsung India,IT,Business Analyst,19.44,Bangalore,LinkedIn
Paytm,IT,Software Developer,14.09,Delhi,Naukri
Nestle India,IT,Consultant,3.06,Delhi,LinkedIn
Paytm,IT Services,Software Developer,9.89,Chennai,Company Career Page
Accenture,IT,Software Developer,10.49,Noida,LinkedIn
Adobe,IT,Business Analyst,4.75,Hyderabad,Company Career Page
Siemens,IT,Data Analyst,19.39,Hyderabad,Naukri
ICICI Bank,Consulting,Software Engineer,4.74,Hyderabad,Company Career Page
Goldman Sachs,Banking,Cloud Engineer,17.52,Kolkata,Indeed
Goldman Sachs,Banking,Software Engineer,11.42,Hyderabad,LinkedIn
TCS,Consulting,Financial Analyst,15.97,Mumbai,Company Career Page
EY,IT Services,Software Developer,7.52,Pune,LinkedIn
Paytm,E-Commerce,Software Engineer,17.46,Delhi,LinkedIn
Cognizant,Consulting,Financial Analyst,12.06,Chennai,Company Career Page
Infosys,Banking,Cloud Engineer,14.97,Mumbai,Naukri
Bosch,Consulting,Credit Analyst,12.6,Delhi,LinkedIn
Asian Paints,Banking,Cloud Engineer,4.79,Noida,LinkedIn
Amazon,IT,Credit Analyst,8.54,Pune,Indeed
Uber,E-Commerce,Software Engineer,9.38,Chennai,LinkedIn
Mahindra & Mahindra,Banking,Software Engineer,8.62,Bangalore,Indeed
Swiggy,Consulting,Business Analyst,8.47,Bangalore,LinkedIn
KPMG,Banking,Credit Analyst,17.94,Kolkata,Naukri
Flipkart,E-Commerce,Financial Analyst,5.76,Bangalore,Indeed
TCS,IT Services,Software Developer,15.21,Delhi,Indeed
Maruti Suzuki,IT Services,Credit Analyst,17.81,Mumbai,Naukri
Cognizant,E-Commerce,Cybersecurity Analyst,3.91,Gurgaon,Naukri
EY,Consulting,Financial Analyst,15.49,Kolkata,Naukri
Swiggy,IT Services,Software Engineer,7.75,Gurgaon,Indeed
Bosch,Consulting,Financial Analyst,15.06,Bangalore,LinkedIn
Nestle India,IT Services,Financial Analyst,11.2,Delhi,Indeed
Ola,E-Commerce,Business Analyst,16.09,Chennai,Company Career Page
Zomato,IT,Consultant,11.71,Mumbai,Naukri
Capgemini,Consulting,Data Analyst,7.08,Kolkata,LinkedIn
Kotak Mahindra Bank,IT Services,Cybersecurity Analyst,10.91,Delhi,Company Career Page
IBM,E-Commerce,Software Developer,5.44,Pune,Company Career Page
Accenture,IT Services,Data Analyst,17.65,Bangalore,LinkedIn
Infosys,Consulting,Credit Analyst,3.7,Delhi,Company Career Page
Swiggy,E-Commerce,Cloud Engineer,11.16,Pune,Indeed
Adobe,IT Services,Software Developer,5.11,Hyderabad,LinkedIn
Accenture,IT Services,Credit Analyst,9.6,Pune,Indeed
Accenture,IT Services,Data Analyst,11.79,Delhi,Company Career Page
Microsoft,IT,Business Analyst,12.09,Noida,LinkedIn
HDFC Bank,Banking,Cloud Engineer,3.9,Mumbai,Company Career Page
Capgemini,Banking,Software Developer,17.42,Delhi,Naukri
JP Morgan,IT,Consultant,5.88,Mumbai,Indeed
Goldman Sachs,Banking,Cloud Engineer,4.3,Noida,Naukri
HDFC Bank,Consulting,Cloud Engineer,15.21,Kolkata,LinkedIn
Tata Steel,IT Services,Credit Analyst,3.9,Noida,Company Career Page
ITC Limited,Banking,Consultant,5,Kolkata,Naukri
Kotak Mahindra Bank,IT,Financial Analyst,3.08,Noida,Company Career Page
Siemens,Banking,Software Developer,5.22,Kolkata,LinkedIn
Maruti Suzuki,IT Services,Cybersecurity Analyst,13.56,Gurgaon,Company Career Page
Ola,Consulting,Software Engineer,10.52,Bangalore,Company Career Page
Deloitte,E-Commerce,Credit Analyst,6.81,Gurgaon,LinkedIn
Flipkart,IT Services,Data Analyst,7.31,Noida,Naukri
Bosch,Banking,Cybersecurity Analyst,12.62,Mumbai,Indeed
Adobe,Banking,Financial Analyst,11.18,Bangalore,Company Career Page
Paytm,E-Commerce,Cloud Engineer,9.76,Bangalore,LinkedIn
Uber,IT Services,Cloud Engineer,11.05,Chennai,Naukri
Flipkart,IT Services,Cybersecurity Analyst,3.51,Bangalore,Indeed
Siemens,Consulting,Data Analyst,11.87,Pune,Company Career Page
HDFC Bank,Banking,Cloud Engineer,13.18,Bangalore,Indeed
Oracle,Consulting,Business Analyst,3.09,Pune,Company Career Page
PwC,Banking,Data Analyst,10.48,Bangalore,Indeed
L&T Infotech,IT Services,Consultant,13.96,Kolkata,LinkedIn
BYJU'S,E-Commerce,Cybersecurity Analyst,8.78,Noida,Indeed
Bosch,E-Commerce,Consultant,16.58,Noida,Indeed
Adobe,Consulting,Financial Analyst,10.51,Chennai,LinkedIn
Uber,IT,Software Developer,13.87,Delhi,LinkedIn
Siemens,Banking,Cloud Engineer,3.62,Delhi,Company Career Page
Cognizant,IT,Business Analyst,9.15,Hyderabad,Naukri
Oracle,IT,Business Analyst,13.18,Gurgaon,LinkedIn
JP Morgan,IT,Data Analyst,6.15,Kolkata,LinkedIn
HCL Technologies,Consulting,Business Analyst,16.82,Bangalore,Company Career Page
KPMG,Banking,Financial Analyst,6.23,Hyderabad,LinkedIn
Samsung India,IT Services,Cybersecurity Analyst,8.82,Noida,Naukri
Swiggy,IT Services,Data Analyst,6.02,Delhi,LinkedIn
Swiggy,Consulting,Cybersecurity Analyst,14.54,Bangalore,Naukri
Infosys,E-Commerce,Data Analyst,6.44,Bangalore,Company Career Page
Kotak Mahindra Bank,IT Services,Cybersecurity Analyst,6.26,Gurgaon,Naukri
Kotak Mahindra Bank,IT Services,Consultant,9.12,Kolkata,Company Career Page
Maruti Suzuki,IT,Business Analyst,10.84,Noida,LinkedIn
Wipro,IT,Consultant,17.4,Pune,Naukri
Google,Banking,Credit Analyst,7.82,Chennai,Indeed
KPMG,IT Services,Software Engineer,8.63,Bangalore,LinkedIn
Bosch,IT Services,Credit Analyst,5.58,Pune,Indeed
TCS,E-Commerce,Business Analyst,14.42,Kolkata,Indeed
Asian Paints,IT Services,Cybersecurity Analyst,14.01,Kolkata,Indeed
Accenture,Consulting,Financial Analyst,10.88,Chennai,Indeed
Siemens,IT,Consultant,8.76,Hyderabad,Naukri
Microsoft,IT Services,Cybersecurity Analyst,10.83,Pune,Indeed
JP Morgan,IT Services,Cybersecurity Analyst,9.71,Kolkata,Indeed
HDFC Bank,IT Services,Consultant,14.67,Noida,Indeed
Deloitte,Banking,Data Analyst,17.67,Gurgaon,Indeed
Amazon,IT Services,Credit Analyst,4.64,Kolkata,Indeed
Mahindra & Mahindra,IT Services,Cybersecurity Analyst,9.24,Bangalore,LinkedIn
Goldman Sachs,IT,Credit Analyst,7.64,Mumbai,Naukri
Cognizant,Consulting,Software Developer,14.18,Bangalore,LinkedIn
Samsung India,Consulting,Financial Analyst,13.46,Mumbai,Indeed
Wipro,E-Commerce,Data Analyst,13.82,Hyderabad,Naukri
Google,Consulting,Software Developer,12.77,Pune,LinkedIn
SAP,Consulting,Cloud Engineer,13.3,Kolkata,Naukri
Capgemini,IT Services,Data Analyst,8.1,Pune,LinkedIn
Swiggy,IT,Cloud Engineer,7.95,Bangalore,LinkedIn
Amazon,Consulting,Consultant,9.7,Pune,Indeed
Tata Steel,Consulting,Business Analyst,7.5,Kolkata,Naukri
